subject 	task 	staircase 	trialNum 	stimulusType 	monitorWidth 	monitorHeight 	stimSize 	ISI 	SOA 	responseSpatialPos 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
autoTest 	 dot-jump 	 False 	 15 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 17 	 5.02640136157 	 -2.90199417916 	 5.02640136157 	 -2.90199417916 	 5.02640136157 	 -2.90199417916 	 True 	 10 	 10 	9 	7 	1 	21 	11 	3 	22 	8 	19 	15 	17 	18 	24 	20 	2 	13 	5 	14 	23 	4 	16 	6 	12 	10 	105
autoTest 	 dot-jump 	 False 	 16 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 17 	 5.02640136157 	 -2.90199417916 	 5.02640136157 	 -2.90199417916 	 5.02640136157 	 -2.90199417916 	 True 	 10 	 10 	9 	4 	13 	21 	20 	24 	2 	22 	15 	1 	17 	11 	5 	3 	12 	18 	10 	8 	23 	7 	14 	16 	6 	19 	111
autoTest 	 dot-jump 	 False 	 17 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 5 	 -5.02640136157 	 2.90199417916 	 -5.02640136157 	 2.90199417916 	 -5.02640136157 	 2.90199417916 	 True 	 10 	 10 	9 	24 	3 	20 	2 	6 	23 	15 	8 	18 	5 	17 	4 	14 	12 	10 	1 	13 	22 	11 	21 	16 	7 	19 	102
autoTest 	 dot-jump 	 False 	 18 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 8 	 -5.60622225078 	 -1.50218272469 	 -5.60622225078 	 -1.50218272469 	 -5.60622225078 	 -1.50218272469 	 True 	 10 	 10 	5 	4 	7 	14 	21 	24 	1 	22 	9 	20 	8 	3 	2 	19 	16 	23 	10 	17 	15 	6 	11 	12 	13 	18 	96
autoTest 	 dot-jump 	 False 	 19 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 4.10403952609 	 4.10403952609 	 4.10403952609 	 4.10403952609 	 True 	 10 	 10 	16 	3 	15 	4 	24 	13 	12 	21 	6 	14 	22 	2 	18 	10 	5 	17 	19 	11 	7 	9 	23 	1 	8 	20 	107
autoTest 	 dot-jump 	 False 	 20 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 2 	 -1.50218272469 	 5.60622225078 	 -1.50218272469 	 5.60622225078 	 -1.50218272469 	 5.60622225078 	 True 	 10 	 10 	6 	5 	10 	16 	20 	18 	19 	21 	24 	11 	2 	4 	1 	17 	23 	8 	9 	14 	22 	7 	12 	13 	15 	3 	112
autoTest 	 dot-jump 	 False 	 21 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 18 	 5.60622225078 	 -1.50218272469 	 5.60622225078 	 -1.50218272469 	 5.60622225078 	 -1.50218272469 	 True 	 10 	 10 	24 	6 	10 	8 	4 	5 	14 	7 	15 	20 	18 	23 	11 	22 	21 	12 	9 	1 	17 	16 	3 	19 	13 	2 	109
autoTest 	 dot-jump 	 False 	 22 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 2 	 -1.50218272469 	 5.60622225078 	 -1.50218272469 	 5.60622225078 	 -1.50218272469 	 5.60622225078 	 True 	 10 	 10 	12 	22 	9 	10 	20 	14 	17 	15 	4 	6 	2 	16 	24 	11 	8 	5 	19 	13 	7 	3 	18 	1 	23 	21 	105
autoTest 	 dot-jump 	 False 	 23 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 21 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 2.90199417916 	 True 	 10 	 10 	2 	14 	1 	5 	15 	3 	24 	9 	19 	18 	21 	13 	7 	20 	22 	23 	4 	11 	6 	17 	16 	10 	12 	8 	103
autoTest 	 dot-jump 	 False 	 24 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 19 	 5.80398835832 	 0.0 	 5.80398835832 	 0.0 	 5.80398835832 	 0.0 	 True 	 10 	 10 	7 	17 	11 	16 	13 	22 	20 	23 	15 	2 	19 	14 	3 	12 	1 	21 	8 	9 	4 	5 	6 	10 	24 	18 	116
autoTest 	 dot-jump 	 False 	 25 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 23 	 2.90199417916 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 True 	 10 	 10 	16 	6 	11 	15 	7 	13 	24 	14 	21 	3 	23 	12 	4 	5 	17 	2 	18 	8 	22 	9 	10 	20 	19 	1 	115
autoTest 	 dot-jump 	 False 	 26 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 8 	 -5.60622225078 	 -1.50218272469 	 -5.60622225078 	 -1.50218272469 	 -5.60622225078 	 -1.50218272469 	 True 	 10 	 10 	20 	3 	23 	9 	10 	2 	12 	4 	15 	16 	8 	13 	22 	14 	24 	1 	7 	19 	11 	6 	21 	17 	5 	18 	111
autoTest 	 dot-jump 	 False 	 27 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 14 	 1.50218272469 	 -5.60622225078 	 1.50218272469 	 -5.60622225078 	 1.50218272469 	 -5.60622225078 	 True 	 10 	 10 	10 	6 	15 	1 	21 	11 	5 	22 	3 	9 	14 	20 	12 	19 	7 	8 	18 	16 	23 	2 	13 	4 	17 	24 	109
autoTest 	 dot-jump 	 False 	 28 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 12 	 -1.50218272469 	 -5.60622225078 	 -1.50218272469 	 -5.60622225078 	 -1.50218272469 	 -5.60622225078 	 True 	 10 	 10 	14 	16 	6 	24 	22 	13 	20 	21 	4 	23 	12 	10 	5 	9 	15 	1 	11 	18 	2 	19 	17 	7 	3 	8 	110
autoTest 	 dot-jump 	 False 	 29 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 13 	 0.0 	 -5.80398835832 	 0.0 	 -5.80398835832 	 0.0 	 -5.80398835832 	 True 	 10 	 10 	8 	24 	5 	7 	12 	9 	3 	19 	21 	23 	13 	14 	4 	11 	6 	20 	16 	18 	1 	17 	15 	10 	22 	2 	102
autoTest 	 dot-jump 	 False 	 30 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 21 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 2.90199417916 	 True 	 10 	 10 	1 	20 	11 	13 	14 	16 	3 	18 	9 	2 	21 	6 	4 	15 	22 	5 	17 	19 	8 	23 	7 	10 	12 	24 	111
autoTest 	 dot-jump 	 False 	 31 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 21 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 2.90199417916 	 True 	 10 	 10 	15 	6 	22 	10 	14 	1 	11 	4 	16 	7 	21 	24 	12 	19 	13 	18 	5 	17 	8 	2 	23 	3 	20 	9 	107
autoTest 	 dot-jump 	 False 	 32 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 14 	 1.50218272469 	 -5.60622225078 	 1.50218272469 	 -5.60622225078 	 1.50218272469 	 -5.60622225078 	 True 	 10 	 10 	16 	4 	13 	7 	10 	8 	23 	20 	1 	24 	14 	15 	3 	9 	18 	5 	17 	6 	12 	2 	11 	19 	22 	21 	109
autoTest 	 dot-jump 	 False 	 33 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 4 	 -4.10403952609 	 4.10403952609 	 -4.10403952609 	 4.10403952609 	 -4.10403952609 	 4.10403952609 	 True 	 10 	 10 	10 	7 	15 	5 	22 	18 	8 	14 	23 	2 	4 	13 	11 	16 	19 	24 	1 	3 	21 	12 	9 	6 	20 	17 	114
autoTest 	 dot-jump 	 False 	 34 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 14 	 1.50218272469 	 -5.60622225078 	 1.50218272469 	 -5.60622225078 	 1.50218272469 	 -5.60622225078 	 True 	 10 	 10 	1 	13 	2 	8 	15 	10 	5 	17 	7 	21 	14 	11 	19 	9 	4 	18 	3 	6 	24 	23 	12 	16 	22 	20 	110
autoTest 	 dot-jump 	 False 	 35 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 3 	 -2.90199417916 	 5.02640136157 	 -2.90199417916 	 5.02640136157 	 -2.90199417916 	 5.02640136157 	 True 	 10 	 10 	21 	12 	24 	15 	1 	17 	10 	11 	5 	9 	3 	4 	7 	14 	18 	23 	20 	19 	8 	6 	2 	13 	22 	16 	113
autoTest 	 dot-jump 	 False 	 36 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 16 	 4.10403952609 	 -4.10403952609 	 4.10403952609 	 -4.10403952609 	 4.10403952609 	 -4.10403952609 	 True 	 10 	 10 	19 	10 	11 	21 	7 	3 	2 	18 	9 	22 	16 	8 	6 	23 	4 	17 	5 	20 	12 	14 	24 	13 	15 	1 	113
autoTest 	 dot-jump 	 False 	 37 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 7 	 -5.80398835832 	 0.0 	 -5.80398835832 	 0.0 	 -5.80398835832 	 0.0 	 True 	 10 	 10 	19 	22 	16 	3 	1 	18 	17 	15 	11 	10 	7 	5 	8 	14 	21 	6 	4 	2 	23 	24 	13 	20 	12 	9 	113
autoTest 	 dot-jump 	 False 	 38 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 15 	 2.90199417916 	 -5.02640136157 	 2.90199417916 	 -5.02640136157 	 2.90199417916 	 -5.02640136157 	 True 	 10 	 10 	10 	20 	13 	7 	11 	6 	17 	3 	23 	18 	15 	21 	24 	8 	4 	2 	16 	9 	1 	12 	5 	22 	14 	19 	106
autoTest 	 dot-jump 	 False 	 39 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 6 	 -5.60622225078 	 1.50218272469 	 -5.60622225078 	 1.50218272469 	 -5.60622225078 	 1.50218272469 	 True 	 10 	 10 	5 	24 	22 	7 	11 	20 	13 	2 	15 	9 	6 	21 	4 	23 	1 	17 	3 	12 	8 	19 	14 	16 	10 	18 	115
autoTest 	 dot-jump 	 False 	 40 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 20 	 5.60622225078 	 1.50218272469 	 5.60622225078 	 1.50218272469 	 5.60622225078 	 1.50218272469 	 True 	 10 	 10 	1 	10 	17 	23 	21 	11 	24 	18 	16 	14 	20 	7 	4 	3 	15 	9 	5 	22 	6 	12 	8 	13 	19 	2 	110
autoTest 	 dot-jump 	 False 	 41 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 2 	 -1.50218272469 	 5.60622225078 	 -1.50218272469 	 5.60622225078 	 -1.50218272469 	 5.60622225078 	 True 	 10 	 10 	11 	16 	24 	7 	4 	20 	8 	19 	14 	3 	2 	6 	21 	17 	9 	5 	13 	1 	12 	23 	15 	18 	10 	22 	115
autoTest 	 dot-jump 	 False 	 42 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 1 	 0.0 	 5.80398835832 	 0.0 	 5.80398835832 	 0.0 	 5.80398835832 	 True 	 10 	 10 	18 	4 	2 	22 	16 	19 	11 	13 	20 	10 	1 	15 	5 	6 	17 	9 	3 	14 	8 	7 	24 	12 	23 	21 	109
autoTest 	 dot-jump 	 False 	 43 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 13 	 0.0 	 -5.80398835832 	 0.0 	 -5.80398835832 	 0.0 	 -5.80398835832 	 True 	 10 	 10 	7 	9 	1 	11 	10 	12 	4 	24 	3 	18 	13 	6 	17 	22 	20 	16 	2 	8 	21 	5 	19 	15 	23 	14 	111
autoTest 	 dot-jump 	 False 	 44 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 16 	 4.10403952609 	 -4.10403952609 	 4.10403952609 	 -4.10403952609 	 4.10403952609 	 -4.10403952609 	 True 	 10 	 10 	5 	17 	19 	4 	3 	10 	22 	24 	18 	6 	16 	8 	14 	23 	13 	11 	20 	21 	1 	2 	12 	15 	7 	9 	99
autoTest 	 dot-jump 	 False 	 45 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 1 	 0.0 	 5.80398835832 	 0.0 	 5.80398835832 	 0.0 	 5.80398835832 	 True 	 10 	 10 	4 	8 	10 	5 	3 	16 	14 	24 	9 	15 	1 	12 	23 	19 	13 	21 	2 	18 	22 	7 	20 	11 	17 	6 	102
autoTest 	 dot-jump 	 False 	 46 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 19 	 5.80398835832 	 0.0 	 5.80398835832 	 0.0 	 5.80398835832 	 0.0 	 True 	 10 	 10 	24 	9 	4 	7 	22 	18 	21 	11 	6 	12 	19 	2 	8 	23 	5 	16 	1 	17 	3 	20 	15 	14 	13 	10 	99
autoTest 	 dot-jump 	 False 	 47 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 20 	 5.60622225078 	 1.50218272469 	 5.60622225078 	 1.50218272469 	 5.60622225078 	 1.50218272469 	 True 	 10 	 10 	22 	21 	5 	8 	13 	10 	24 	12 	11 	3 	20 	1 	6 	4 	23 	15 	16 	18 	2 	17 	9 	14 	19 	7 	110
autoTest 	 dot-jump 	 False 	 48 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 23 	 2.90199417916 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 True 	 10 	 10 	24 	2 	9 	20 	17 	7 	19 	8 	6 	12 	23 	3 	1 	5 	11 	4 	16 	21 	18 	14 	13 	22 	10 	15 	84
autoTest 	 dot-jump 	 False 	 49 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 10 	 -4.10403952609 	 -4.10403952609 	 -4.10403952609 	 -4.10403952609 	 -4.10403952609 	 -4.10403952609 	 True 	 10 	 10 	16 	6 	23 	12 	15 	18 	11 	21 	19 	4 	10 	9 	20 	2 	17 	22 	8 	1 	13 	7 	24 	14 	3 	5 	102
autoTest 	 dot-jump 	 False 	 50 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 6 	 -5.60622225078 	 1.50218272469 	 -5.60622225078 	 1.50218272469 	 -5.60622225078 	 1.50218272469 	 True 	 10 	 10 	15 	2 	14 	3 	21 	7 	9 	12 	1 	16 	6 	8 	17 	18 	4 	5 	22 	13 	10 	24 	20 	23 	19 	11 	102
autoTest 	 dot-jump 	 False 	 51 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 13 	 0.0 	 -5.80398835832 	 0.0 	 -5.80398835832 	 0.0 	 -5.80398835832 	 True 	 10 	 10 	9 	14 	12 	10 	22 	6 	1 	18 	3 	4 	13 	15 	21 	24 	2 	11 	20 	8 	23 	7 	16 	5 	17 	19 	97
autoTest 	 dot-jump 	 False 	 52 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 23 	 2.90199417916 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 True 	 10 	 10 	3 	10 	22 	18 	15 	17 	16 	8 	1 	20 	23 	5 	21 	2 	6 	11 	19 	14 	7 	24 	13 	4 	12 	9 	107
autoTest 	 dot-jump 	 False 	 53 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 23 	 2.90199417916 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 True 	 10 	 10 	19 	24 	14 	16 	9 	15 	8 	11 	13 	17 	23 	18 	4 	1 	6 	2 	5 	3 	20 	21 	22 	7 	12 	10 	111
autoTest 	 dot-jump 	 False 	 54 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 14 	 1.50218272469 	 -5.60622225078 	 1.50218272469 	 -5.60622225078 	 1.50218272469 	 -5.60622225078 	 True 	 10 	 10 	15 	24 	11 	1 	7 	3 	5 	4 	12 	20 	14 	17 	10 	2 	18 	23 	21 	8 	6 	9 	22 	19 	16 	13 	114
autoTest 	 dot-jump 	 False 	 55 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 4 	 -4.10403952609 	 4.10403952609 	 -4.10403952609 	 4.10403952609 	 -4.10403952609 	 4.10403952609 	 True 	 10 	 10 	1 	10 	8 	23 	13 	22 	11 	3 	5 	19 	4 	17 	14 	2 	20 	24 	18 	9 	7 	12 	16 	15 	6 	21 	109
autoTest 	 dot-jump 	 False 	 56 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 13 	 0.0 	 -5.80398835832 	 0.0 	 -5.80398835832 	 0.0 	 -5.80398835832 	 True 	 10 	 10 	1 	5 	23 	22 	15 	4 	17 	9 	16 	7 	13 	18 	2 	12 	6 	24 	14 	3 	19 	20 	21 	11 	8 	10 	112
autoTest 	 dot-jump 	 False 	 57 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 23 	 2.90199417916 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 True 	 10 	 10 	16 	7 	14 	22 	3 	9 	1 	6 	19 	20 	23 	10 	11 	18 	4 	12 	24 	8 	21 	13 	5 	2 	17 	15 	114
autoTest 	 dot-jump 	 False 	 58 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 17 	 5.02640136157 	 -2.90199417916 	 5.02640136157 	 -2.90199417916 	 5.02640136157 	 -2.90199417916 	 True 	 10 	 10 	6 	12 	19 	3 	23 	13 	18 	11 	5 	4 	17 	7 	16 	2 	9 	8 	15 	1 	22 	14 	21 	20 	10 	24 	112
autoTest 	 dot-jump 	 False 	 59 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 18 	 5.60622225078 	 -1.50218272469 	 5.60622225078 	 -1.50218272469 	 5.60622225078 	 -1.50218272469 	 True 	 10 	 10 	19 	15 	16 	22 	7 	23 	1 	11 	9 	14 	18 	4 	6 	12 	3 	8 	5 	10 	24 	21 	20 	17 	13 	2 	111
autoTest 	 dot-jump 	 False 	 60 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 13 	 0.0 	 -5.80398835832 	 0.0 	 -5.80398835832 	 0.0 	 -5.80398835832 	 True 	 10 	 10 	14 	17 	8 	16 	15 	10 	22 	18 	19 	23 	13 	24 	20 	21 	5 	9 	3 	11 	12 	4 	6 	2 	1 	7 	113
autoTest 	 dot-jump 	 False 	 61 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 21 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 2.90199417916 	 True 	 10 	 10 	13 	15 	19 	23 	22 	6 	9 	20 	2 	1 	21 	8 	14 	24 	16 	5 	11 	17 	18 	4 	12 	7 	3 	10 	110
autoTest 	 dot-jump 	 False 	 62 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 10 	 -4.10403952609 	 -4.10403952609 	 -4.10403952609 	 -4.10403952609 	 -4.10403952609 	 -4.10403952609 	 True 	 10 	 10 	7 	4 	3 	21 	9 	23 	14 	15 	8 	22 	10 	20 	16 	18 	17 	1 	6 	24 	2 	13 	12 	19 	11 	5 	111
autoTest 	 dot-jump 	 False 	 63 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 20 	 5.60622225078 	 1.50218272469 	 5.60622225078 	 1.50218272469 	 5.60622225078 	 1.50218272469 	 True 	 10 	 10 	8 	10 	16 	12 	5 	15 	2 	1 	23 	21 	20 	3 	18 	22 	7 	13 	14 	24 	6 	4 	17 	19 	11 	9 	108
autoTest 	 dot-jump 	 False 	 64 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 6 	 -5.60622225078 	 1.50218272469 	 -5.60622225078 	 1.50218272469 	 -5.60622225078 	 1.50218272469 	 True 	 10 	 10 	19 	13 	21 	15 	12 	4 	1 	11 	16 	23 	6 	14 	3 	5 	20 	7 	2 	17 	22 	18 	10 	8 	24 	9 	114
autoTest 	 dot-jump 	 False 	 65 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 24 	 1.50218272469 	 5.60622225078 	 1.50218272469 	 5.60622225078 	 1.50218272469 	 5.60622225078 	 True 	 10 	 10 	4 	17 	5 	16 	23 	7 	11 	20 	22 	2 	24 	12 	21 	8 	3 	13 	15 	1 	14 	9 	6 	18 	19 	10 	110
autoTest 	 dot-jump 	 False 	 66 	 circle 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 19 	 5.80398835832 	 0.0 	 5.80398835832 	 0.0 	 5.80398835832 	 0.0 	 True 	 10 	 10 	7 	1 	5 	22 	20 	8 	21 	10 	2 	24 	19 	23 	4 	17 	15 	14 	12 	3 	9 	11 	18 	16 	13 	6 	106
