subject 	task 	staircase 	trialNum 	stimulus 	monitorWidth 	monitorHeight 	stimSize 	ISI 	SOA 	responseSpatialPos 	responseX 	responseY 	correctX 	correctY 	clickX 	clickY 	accuracy 	responsePosInStream 	correctPosInStream 	position0 	position1 	position2 	position3 	position4 	position5 	position6 	position7 	position8 	position9 	position10 	position11 	position12 	position13 	position14 	position15 	position16 	position17 	position18 	position19 	position20 	position21 	position22 	position23 	longFrames
autoTest 	 dot-jump 	 False 	 10 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 19 	 5.80398835832 	 0.0 	 0.0 	 -5.80398835832 	 5.80398835832 	 0.0 	 False 	 19 	 10 	2 	15 	4 	8 	10 	12 	14 	3 	24 	18 	13 	1 	22 	23 	17 	20 	5 	11 	16 	19 	21 	6 	9 	7 	112
autoTest 	 dot-jump 	 False 	 11 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 15 	 2.90199417916 	 -5.02640136157 	 -4.10403952609 	 -4.10403952609 	 2.90199417916 	 -5.02640136157 	 False 	 8 	 10 	7 	19 	6 	24 	4 	8 	21 	14 	15 	17 	10 	1 	20 	16 	9 	3 	2 	22 	5 	11 	13 	12 	23 	18 	112
autoTest 	 dot-jump 	 False 	 12 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 16 	 4.10403952609 	 -4.10403952609 	 4.10403952609 	 -4.10403952609 	 4.10403952609 	 -4.10403952609 	 True 	 10 	 10 	14 	23 	20 	5 	11 	7 	15 	9 	2 	8 	16 	24 	17 	13 	3 	12 	21 	4 	22 	6 	18 	19 	10 	1 	111
autoTest 	 dot-jump 	 False 	 13 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 2.90199417916 	 5.02640136157 	 4.10403952609 	 4.10403952609 	 False 	 1 	 10 	17 	22 	18 	7 	8 	24 	19 	16 	15 	3 	23 	20 	11 	21 	10 	5 	9 	4 	6 	1 	13 	2 	12 	14 	109
autoTest 	 dot-jump 	 False 	 14 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 13 	 0.0 	 -5.80398835832 	 -5.60622225078 	 1.50218272469 	 0.0 	 -5.80398835832 	 False 	 11 	 10 	5 	12 	21 	24 	7 	3 	1 	2 	10 	20 	6 	13 	11 	8 	18 	23 	22 	15 	14 	9 	4 	17 	16 	19 	104
autoTest 	 dot-jump 	 False 	 15 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 17 	 5.02640136157 	 -2.90199417916 	 -2.90199417916 	 5.02640136157 	 5.02640136157 	 -2.90199417916 	 False 	 1 	 10 	14 	17 	19 	11 	21 	8 	24 	16 	5 	10 	3 	9 	2 	20 	12 	23 	15 	6 	4 	13 	22 	1 	7 	18 	99
autoTest 	 dot-jump 	 False 	 16 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 10 	 -4.10403952609 	 -4.10403952609 	 -4.10403952609 	 -4.10403952609 	 -4.10403952609 	 -4.10403952609 	 True 	 10 	 10 	19 	20 	7 	17 	4 	16 	18 	6 	21 	23 	10 	11 	3 	13 	12 	15 	14 	8 	1 	9 	24 	2 	22 	5 	102
autoTest 	 dot-jump 	 False 	 17 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 14 	 1.50218272469 	 -5.60622225078 	 1.50218272469 	 -5.60622225078 	 1.50218272469 	 -5.60622225078 	 True 	 10 	 10 	9 	19 	7 	15 	22 	4 	11 	6 	8 	2 	14 	1 	16 	10 	21 	5 	3 	20 	12 	17 	13 	24 	18 	23 	111
autoTest 	 dot-jump 	 False 	 18 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 23 	 2.90199417916 	 5.02640136157 	 5.60622225078 	 1.50218272469 	 2.90199417916 	 5.02640136157 	 False 	 3 	 10 	11 	14 	18 	23 	10 	3 	24 	21 	12 	16 	20 	4 	22 	13 	7 	15 	1 	17 	2 	9 	19 	6 	8 	5 	111
autoTest 	 dot-jump 	 False 	 19 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 16 	 4.10403952609 	 -4.10403952609 	 -2.90199417916 	 5.02640136157 	 4.10403952609 	 -4.10403952609 	 False 	 12 	 10 	4 	7 	23 	19 	20 	10 	5 	8 	1 	17 	3 	9 	16 	18 	13 	11 	12 	14 	22 	21 	2 	6 	15 	24 	108
autoTest 	 dot-jump 	 False 	 20 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 12 	 -1.50218272469 	 -5.60622225078 	 5.60622225078 	 -1.50218272469 	 -1.50218272469 	 -5.60622225078 	 False 	 13 	 10 	10 	8 	22 	2 	11 	24 	15 	7 	20 	17 	18 	13 	9 	12 	16 	6 	1 	14 	5 	3 	19 	4 	21 	23 	114
autoTest 	 dot-jump 	 False 	 21 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 12 	 -1.50218272469 	 -5.60622225078 	 -1.50218272469 	 -5.60622225078 	 -1.50218272469 	 -5.60622225078 	 True 	 10 	 10 	5 	8 	2 	9 	3 	15 	24 	17 	10 	20 	12 	11 	18 	19 	16 	1 	23 	7 	14 	22 	21 	13 	4 	6 	109
autoTest 	 dot-jump 	 False 	 22 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 3 	 -2.90199417916 	 5.02640136157 	 -5.02640136157 	 2.90199417916 	 -2.90199417916 	 5.02640136157 	 False 	 1 	 10 	12 	3 	18 	15 	11 	16 	23 	20 	13 	10 	5 	17 	22 	6 	2 	24 	14 	21 	19 	4 	7 	8 	1 	9 	110
autoTest 	 dot-jump 	 False 	 23 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 23 	 2.90199417916 	 5.02640136157 	 -4.10403952609 	 -4.10403952609 	 2.90199417916 	 5.02640136157 	 False 	 8 	 10 	18 	16 	19 	17 	22 	13 	15 	6 	23 	1 	10 	7 	12 	21 	24 	4 	20 	11 	2 	3 	9 	8 	14 	5 	113
autoTest 	 dot-jump 	 False 	 24 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 21 	 5.02640136157 	 2.90199417916 	 -2.90199417916 	 -5.02640136157 	 5.02640136157 	 2.90199417916 	 False 	 19 	 10 	5 	10 	16 	12 	1 	19 	22 	14 	17 	3 	11 	4 	18 	6 	8 	24 	23 	20 	13 	21 	7 	9 	15 	2 	117
autoTest 	 dot-jump 	 False 	 25 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 1 	 0.0 	 5.80398835832 	 -5.60622225078 	 1.50218272469 	 0.0 	 5.80398835832 	 False 	 5 	 10 	20 	2 	3 	15 	17 	1 	23 	21 	12 	9 	6 	5 	24 	18 	19 	22 	4 	7 	13 	16 	10 	14 	11 	8 	109
autoTest 	 dot-jump 	 False 	 26 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 12 	 -1.50218272469 	 -5.60622225078 	 2.90199417916 	 5.02640136157 	 -1.50218272469 	 -5.60622225078 	 False 	 11 	 10 	15 	5 	18 	13 	1 	19 	8 	4 	9 	22 	23 	12 	6 	11 	24 	2 	17 	3 	14 	21 	16 	10 	7 	20 	116
autoTest 	 dot-jump 	 False 	 27 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 7 	 -5.80398835832 	 0.0 	 5.02640136157 	 2.90199417916 	 -5.80398835832 	 0.0 	 False 	 20 	 10 	12 	14 	1 	15 	5 	24 	2 	4 	9 	8 	21 	6 	20 	3 	19 	16 	22 	18 	10 	13 	7 	11 	17 	23 	109
autoTest 	 dot-jump 	 False 	 28 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 24 	 1.50218272469 	 5.60622225078 	 -2.90199417916 	 5.02640136157 	 1.50218272469 	 5.60622225078 	 False 	 13 	 10 	22 	11 	16 	6 	1 	8 	18 	15 	23 	17 	3 	19 	10 	24 	13 	20 	2 	5 	4 	9 	14 	21 	7 	12 	114
autoTest 	 dot-jump 	 False 	 29 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 8 	 -5.60622225078 	 -1.50218272469 	 4.10403952609 	 4.10403952609 	 -5.60622225078 	 -1.50218272469 	 False 	 8 	 10 	23 	17 	1 	19 	13 	5 	4 	3 	8 	6 	22 	9 	11 	14 	10 	15 	2 	7 	24 	20 	18 	12 	21 	16 	111
autoTest 	 dot-jump 	 False 	 30 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 21 	 5.02640136157 	 2.90199417916 	 4.10403952609 	 4.10403952609 	 5.02640136157 	 2.90199417916 	 False 	 5 	 10 	17 	15 	3 	13 	10 	21 	7 	20 	9 	1 	22 	2 	23 	5 	8 	18 	11 	6 	19 	4 	16 	14 	12 	24 	114
autoTest 	 dot-jump 	 False 	 31 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 14 	 1.50218272469 	 -5.60622225078 	 -5.60622225078 	 1.50218272469 	 1.50218272469 	 -5.60622225078 	 False 	 7 	 10 	12 	15 	10 	20 	9 	2 	4 	14 	16 	1 	6 	17 	22 	19 	8 	11 	21 	24 	18 	13 	23 	7 	3 	5 	112
autoTest 	 dot-jump 	 False 	 32 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 6 	 -5.60622225078 	 1.50218272469 	 -4.10403952609 	 4.10403952609 	 -5.60622225078 	 1.50218272469 	 False 	 12 	 10 	7 	8 	1 	21 	18 	10 	3 	9 	14 	20 	4 	2 	6 	15 	5 	11 	19 	22 	24 	13 	12 	23 	16 	17 	107
autoTest 	 dot-jump 	 False 	 33 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 10 	 -4.10403952609 	 -4.10403952609 	 -5.60622225078 	 -1.50218272469 	 -4.10403952609 	 -4.10403952609 	 False 	 5 	 10 	14 	20 	2 	19 	21 	10 	23 	13 	5 	6 	8 	11 	7 	12 	22 	9 	4 	1 	17 	24 	3 	15 	18 	16 	112
autoTest 	 dot-jump 	 False 	 34 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 4 	 -4.10403952609 	 4.10403952609 	 5.60622225078 	 -1.50218272469 	 -4.10403952609 	 4.10403952609 	 False 	 13 	 10 	8 	19 	7 	3 	20 	13 	12 	9 	15 	10 	18 	1 	6 	4 	24 	14 	11 	16 	5 	23 	2 	22 	21 	17 	112
autoTest 	 dot-jump 	 False 	 35 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 24 	 1.50218272469 	 5.60622225078 	 5.60622225078 	 1.50218272469 	 1.50218272469 	 5.60622225078 	 False 	 6 	 10 	4 	15 	14 	5 	8 	2 	24 	22 	18 	6 	20 	11 	9 	3 	7 	12 	23 	17 	10 	13 	1 	19 	21 	16 	109
autoTest 	 dot-jump 	 False 	 36 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 7 	 -5.80398835832 	 0.0 	 -5.80398835832 	 0.0 	 -5.80398835832 	 0.0 	 True 	 10 	 10 	12 	17 	23 	15 	13 	14 	21 	6 	11 	18 	7 	9 	4 	22 	20 	19 	2 	1 	8 	24 	16 	5 	10 	3 	116
autoTest 	 dot-jump 	 False 	 37 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 11 	 -2.90199417916 	 -5.02640136157 	 1.50218272469 	 -5.60622225078 	 -2.90199417916 	 -5.02640136157 	 False 	 9 	 10 	22 	12 	24 	13 	20 	19 	8 	16 	7 	11 	14 	23 	1 	2 	4 	6 	10 	3 	9 	18 	21 	5 	17 	15 	107
autoTest 	 dot-jump 	 False 	 38 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 3 	 -2.90199417916 	 5.02640136157 	 0.0 	 5.80398835832 	 -2.90199417916 	 5.02640136157 	 False 	 12 	 10 	14 	12 	21 	24 	13 	18 	2 	5 	20 	8 	1 	11 	3 	17 	16 	9 	15 	6 	7 	19 	23 	10 	4 	22 	109
autoTest 	 dot-jump 	 False 	 39 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 21 	 5.02640136157 	 2.90199417916 	 5.02640136157 	 -2.90199417916 	 5.02640136157 	 2.90199417916 	 False 	 9 	 10 	12 	16 	22 	7 	9 	5 	13 	11 	19 	21 	17 	10 	1 	8 	6 	4 	24 	2 	3 	18 	23 	15 	14 	20 	106
autoTest 	 dot-jump 	 False 	 40 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 17 	 5.02640136157 	 -2.90199417916 	 0.0 	 -5.80398835832 	 5.02640136157 	 -2.90199417916 	 False 	 1 	 10 	22 	17 	23 	14 	20 	16 	9 	21 	15 	1 	13 	7 	18 	6 	24 	19 	4 	11 	10 	3 	2 	5 	12 	8 	112
autoTest 	 dot-jump 	 False 	 41 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 1 	 0.0 	 5.80398835832 	 1.50218272469 	 -5.60622225078 	 0.0 	 5.80398835832 	 False 	 6 	 10 	8 	10 	19 	17 	6 	5 	1 	4 	11 	3 	14 	24 	2 	16 	18 	15 	12 	23 	21 	9 	20 	22 	7 	13 	113
autoTest 	 dot-jump 	 False 	 42 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 7 	 -5.80398835832 	 0.0 	 1.50218272469 	 -5.60622225078 	 -5.80398835832 	 0.0 	 False 	 8 	 10 	17 	16 	11 	12 	10 	5 	4 	8 	7 	13 	14 	20 	6 	1 	2 	9 	24 	18 	22 	3 	19 	23 	21 	15 	111
autoTest 	 dot-jump 	 False 	 43 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 1 	 0.0 	 5.80398835832 	 2.90199417916 	 -5.02640136157 	 0.0 	 5.80398835832 	 False 	 1 	 10 	21 	1 	14 	9 	13 	20 	18 	7 	2 	12 	15 	24 	6 	11 	5 	3 	17 	8 	4 	19 	10 	16 	23 	22 	112
autoTest 	 dot-jump 	 False 	 44 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 19 	 5.80398835832 	 0.0 	 -1.50218272469 	 5.60622225078 	 5.80398835832 	 0.0 	 False 	 8 	 10 	15 	4 	8 	16 	3 	21 	12 	9 	19 	7 	2 	1 	24 	17 	13 	6 	20 	14 	18 	10 	11 	23 	5 	22 	113
autoTest 	 dot-jump 	 False 	 45 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 3 	 -2.90199417916 	 5.02640136157 	 5.60622225078 	 1.50218272469 	 -2.90199417916 	 5.02640136157 	 False 	 4 	 10 	7 	24 	9 	14 	3 	6 	1 	13 	21 	2 	20 	19 	10 	8 	4 	18 	5 	23 	17 	22 	15 	16 	12 	11 	113
autoTest 	 dot-jump 	 False 	 46 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 12 	 -1.50218272469 	 -5.60622225078 	 1.50218272469 	 5.60622225078 	 -1.50218272469 	 -5.60622225078 	 False 	 3 	 10 	11 	13 	15 	12 	23 	5 	19 	1 	3 	10 	24 	4 	9 	14 	16 	22 	2 	7 	18 	8 	6 	17 	21 	20 	110
autoTest 	 dot-jump 	 False 	 47 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 14 	 1.50218272469 	 -5.60622225078 	 -2.90199417916 	 5.02640136157 	 1.50218272469 	 -5.60622225078 	 False 	 6 	 10 	23 	10 	16 	8 	5 	22 	14 	17 	7 	24 	3 	4 	6 	21 	15 	1 	9 	19 	20 	12 	11 	18 	2 	13 	112
autoTest 	 dot-jump 	 False 	 48 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 3 	 -2.90199417916 	 5.02640136157 	 -5.60622225078 	 1.50218272469 	 -2.90199417916 	 5.02640136157 	 False 	 9 	 10 	5 	23 	1 	21 	9 	7 	16 	4 	2 	3 	6 	14 	20 	22 	8 	13 	10 	19 	17 	15 	18 	24 	12 	11 	107
autoTest 	 dot-jump 	 False 	 49 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 6 	 -5.60622225078 	 1.50218272469 	 -5.60622225078 	 -1.50218272469 	 -5.60622225078 	 1.50218272469 	 False 	 13 	 10 	13 	23 	21 	4 	12 	15 	16 	7 	2 	5 	8 	10 	11 	6 	14 	19 	18 	20 	22 	9 	1 	17 	3 	24 	112
autoTest 	 dot-jump 	 False 	 50 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 11 	 -2.90199417916 	 -5.02640136157 	 -5.02640136157 	 -2.90199417916 	 -2.90199417916 	 -5.02640136157 	 False 	 0 	 10 	11 	15 	18 	23 	6 	22 	7 	14 	4 	2 	9 	1 	10 	12 	17 	3 	19 	5 	20 	16 	24 	8 	13 	21 	107
autoTest 	 dot-jump 	 False 	 51 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 8 	 -5.60622225078 	 -1.50218272469 	 -5.80398835832 	 0.0 	 -5.60622225078 	 -1.50218272469 	 False 	 7 	 10 	6 	13 	4 	21 	14 	12 	22 	8 	10 	24 	7 	17 	23 	15 	11 	3 	19 	9 	20 	16 	1 	2 	18 	5 	112
autoTest 	 dot-jump 	 False 	 52 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 14 	 1.50218272469 	 -5.60622225078 	 0.0 	 5.80398835832 	 1.50218272469 	 -5.60622225078 	 False 	 13 	 10 	15 	13 	12 	2 	24 	3 	4 	22 	18 	10 	1 	19 	5 	14 	11 	16 	17 	21 	20 	9 	23 	8 	7 	6 	113
autoTest 	 dot-jump 	 False 	 53 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 3 	 -2.90199417916 	 5.02640136157 	 -2.90199417916 	 5.02640136157 	 -2.90199417916 	 5.02640136157 	 True 	 10 	 10 	22 	16 	6 	7 	21 	15 	14 	4 	12 	13 	3 	17 	2 	1 	5 	18 	10 	11 	9 	19 	24 	20 	8 	23 	114
autoTest 	 dot-jump 	 False 	 54 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 21 	 5.02640136157 	 2.90199417916 	 -5.60622225078 	 -1.50218272469 	 5.02640136157 	 2.90199417916 	 False 	 11 	 10 	10 	19 	17 	16 	20 	13 	12 	6 	14 	2 	8 	21 	1 	9 	5 	23 	22 	15 	3 	4 	24 	11 	18 	7 	114
autoTest 	 dot-jump 	 False 	 55 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 12 	 -1.50218272469 	 -5.60622225078 	 -5.60622225078 	 -1.50218272469 	 -1.50218272469 	 -5.60622225078 	 False 	 22 	 10 	7 	20 	6 	11 	10 	23 	5 	13 	9 	19 	8 	21 	22 	16 	4 	14 	24 	15 	2 	1 	3 	17 	12 	18 	111
autoTest 	 dot-jump 	 False 	 56 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 3 	 -2.90199417916 	 5.02640136157 	 -2.90199417916 	 5.02640136157 	 -2.90199417916 	 5.02640136157 	 True 	 10 	 10 	14 	17 	6 	10 	13 	12 	8 	22 	19 	16 	3 	15 	4 	5 	7 	24 	23 	20 	9 	2 	21 	18 	1 	11 	115
autoTest 	 dot-jump 	 False 	 57 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 11 	 -2.90199417916 	 -5.02640136157 	 1.50218272469 	 -5.60622225078 	 -2.90199417916 	 -5.02640136157 	 False 	 6 	 10 	13 	21 	20 	5 	24 	7 	11 	9 	1 	8 	14 	23 	10 	19 	22 	16 	4 	15 	18 	12 	17 	3 	2 	6 	113
autoTest 	 dot-jump 	 False 	 58 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 22 	 4.10403952609 	 4.10403952609 	 5.60622225078 	 -1.50218272469 	 4.10403952609 	 4.10403952609 	 False 	 3 	 10 	2 	4 	24 	22 	11 	20 	9 	3 	5 	6 	18 	21 	13 	17 	8 	23 	15 	7 	16 	14 	10 	19 	1 	12 	111
autoTest 	 dot-jump 	 False 	 59 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 8 	 -5.60622225078 	 -1.50218272469 	 -2.90199417916 	 5.02640136157 	 -5.60622225078 	 -1.50218272469 	 False 	 7 	 10 	7 	12 	11 	10 	6 	19 	2 	8 	23 	4 	3 	14 	15 	1 	24 	20 	17 	22 	16 	21 	13 	18 	9 	5 	111
autoTest 	 dot-jump 	 False 	 60 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 16 	 4.10403952609 	 -4.10403952609 	 -5.02640136157 	 2.90199417916 	 4.10403952609 	 -4.10403952609 	 False 	 6 	 10 	2 	7 	12 	1 	9 	19 	16 	4 	15 	18 	5 	17 	24 	10 	3 	8 	21 	6 	22 	13 	14 	23 	11 	20 	111
autoTest 	 dot-jump 	 False 	 61 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 15 	 2.90199417916 	 -5.02640136157 	 4.10403952609 	 -4.10403952609 	 2.90199417916 	 -5.02640136157 	 False 	 1 	 10 	17 	15 	3 	6 	18 	12 	2 	20 	4 	14 	16 	24 	1 	19 	8 	13 	5 	9 	21 	11 	7 	23 	10 	22 	112
autoTest 	 dot-jump 	 False 	 62 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 16 	 4.10403952609 	 -4.10403952609 	 2.90199417916 	 -5.02640136157 	 4.10403952609 	 -4.10403952609 	 False 	 21 	 10 	24 	10 	17 	20 	5 	9 	1 	18 	3 	12 	15 	7 	11 	14 	21 	23 	4 	2 	6 	19 	22 	16 	13 	8 	111
autoTest 	 dot-jump 	 False 	 63 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 6 	 -5.60622225078 	 1.50218272469 	 -2.90199417916 	 5.02640136157 	 -5.60622225078 	 1.50218272469 	 False 	 9 	 10 	22 	18 	2 	11 	17 	19 	21 	15 	24 	6 	3 	8 	9 	10 	14 	4 	13 	1 	5 	23 	7 	20 	12 	16 	109
autoTest 	 dot-jump 	 False 	 64 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 4 	 -4.10403952609 	 4.10403952609 	 -5.60622225078 	 -1.50218272469 	 -4.10403952609 	 4.10403952609 	 False 	 8 	 10 	19 	21 	20 	15 	10 	24 	23 	9 	4 	1 	8 	17 	12 	22 	3 	2 	18 	7 	6 	13 	5 	11 	16 	14 	113
autoTest 	 dot-jump 	 False 	 65 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 3 	 -2.90199417916 	 5.02640136157 	 -1.50218272469 	 5.60622225078 	 -2.90199417916 	 5.02640136157 	 False 	 13 	 10 	24 	7 	6 	10 	21 	13 	15 	8 	12 	20 	2 	14 	17 	3 	5 	23 	1 	9 	4 	16 	19 	11 	22 	18 	113
autoTest 	 dot-jump 	 False 	 66 	 V 	 1024 	 768 	 5.80398835832 	 44.445 	 66.667 	 24 	 1.50218272469 	 5.60622225078 	 2.90199417916 	 5.02640136157 	 1.50218272469 	 5.60622225078 	 False 	 2 	 10 	10 	6 	24 	8 	19 	13 	2 	18 	11 	21 	23 	14 	22 	5 	20 	9 	3 	1 	17 	12 	16 	7 	4 	15 	110
