"T1-P"	"T1-repP"	"T1-T"	"T1-repT"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"	"NA"
8	18	13	15	4	13	10	21	18	20	19	3	5	17	15	2	14	9	22	12	24	8	23	11	6	7	1	16
2	14.000000000001	20	3	2	4	23	12	14	6	19	15	11	21	1	17	10	7	5	8	24	13	9	18	22	20	16	3
19	19.0000000000011	16	18	17	11	3	22	1	18	14	7	20	2	9	23	24	15	13	4	8	21	16	12	19	5	10	6
13	7.00000000000107	17	16	24	15	8	5	4	20	9	22	21	1	18	11	12	17	14	3	16	10	23	2	6	13	7	19
9	7.00000000000107	24	10	17	13	8	5	9	16	7	21	2	18	24	4	23	20	6	11	15	22	12	10	14	19	3	1
16	18	7	10	6	14	20	4	9	5	13	15	7	10	1	16	18	22	11	21	2	24	17	19	12	3	8	23
5	1.00000000000107	1	13	9	6	14	23	7	5	8	22	18	13	11	2	1	15	4	16	19	24	21	3	12	20	17	10
15	9.999999999999	21	23	22	15	8	19	14	11	7	24	16	1	4	10	13	12	2	20	9	18	21	17	6	3	23	5
6	13.0000000000011	11	7	14	13	8	9	5	24	2	3	7	20	18	16	12	4	15	6	19	21	17	23	10	11	22	1
10	13.0000000000011	9	24	5	23	24	11	16	3	4	22	14	2	7	17	1	10	13	9	21	8	18	6	20	15	19	12
17	16.9999999999989	5	18	23	19	5	1	3	11	2	14	22	17	20	13	9	7	18	10	8	6	4	21	16	24	12	15
1	13.0000000000011	6	8	18	2	13	19	11	12	10	9	15	5	1	22	16	8	7	3	17	6	23	21	24	4	20	14
20	22.9999999999989	22	23	17	5	20	22	8	12	24	14	16	2	21	15	1	4	7	6	11	23	13	19	10	3	18	9
21	16.9999999999989	2	13	10	15	24	18	1	16	21	6	7	22	9	11	19	5	4	2	14	12	3	23	17	8	13	20
18	24	19	16	17	21	2	14	11	4	3	16	10	20	7	15	19	5	13	9	12	6	8	24	23	22	1	18
2	8.000000000001	4	7	9	17	10	24	18	12	6	20	2	19	23	7	4	5	13	1	14	21	3	8	11	15	16	22
16	21	8	13	10	14	8	24	13	2	18	9	21	23	4	19	16	22	11	6	1	20	7	3	5	12	17	15
3	12	15	10	21	15	7	8	2	6	10	16	22	14	4	1	20	5	17	24	11	12	9	3	19	13	18	23
10	24	23	9	18	1	22	10	6	2	4	16	12	9	3	19	5	23	17	7	20	15	13	21	8	24	14	11
7	8.000000000001	18	18	2	17	4	23	10	21	9	12	13	6	15	24	14	1	11	3	16	5	22	19	8	18	7	20
11	16.9999999999989	14	12	13	17	14	3	8	18	23	21	2	1	4	7	19	22	10	15	12	16	11	6	24	20	5	9
20	6	10	8	2	6	13	22	24	4	23	21	8	12	3	1	5	15	20	17	14	19	10	18	9	7	11	16
6	1.00000000000107	3	1	14	8	20	22	2	24	18	6	1	11	12	7	9	5	15	19	21	4	13	3	10	23	17	16
18	15	13	14	21	15	17	5	4	12	11	9	8	22	7	6	2	24	19	20	13	18	14	1	23	10	16	3
23	18	2	1	12	10	1	24	2	11	23	3	17	21	15	14	22	13	20	6	5	4	18	8	16	19	7	9
7	13.0000000000011	24	21	18	16	13	17	7	24	3	4	2	1	14	6	21	20	11	15	5	19	23	9	10	8	22	12
7	10.9999999999989	10	11	5	14	8	11	23	4	12	1	22	24	9	3	16	21	7	18	6	15	17	20	2	10	19	13
13	18	18	19	23	21	12	18	8	22	7	24	15	19	4	5	20	16	14	10	1	3	6	2	9	17	13	11
8	6	4	14	20	3	24	13	7	17	23	2	8	6	4	18	22	14	21	12	9	11	5	19	16	1	10	15
4	18	9	12	24	16	6	2	20	9	13	10	18	12	5	23	19	4	8	14	11	21	7	15	1	3	17	22
5	14.000000000001	23	20	15	7	6	5	22	23	13	12	11	8	4	17	14	1	9	16	24	18	19	3	10	20	2	21
24	2.000000000001	20	21	24	1	6	9	16	22	3	14	20	10	17	19	8	2	7	15	11	13	12	21	18	5	23	4
24	16.9999999999989	5	9	10	15	4	21	19	14	8	3	7	24	6	9	17	12	2	22	13	20	5	16	11	18	1	23
11	1.00000000000107	21	20	24	11	3	10	23	13	4	22	21	5	14	20	6	12	8	17	9	15	16	2	1	18	19	7
23	19.0000000000011	16	1	7	15	17	5	22	10	2	16	12	13	1	19	6	24	9	3	14	8	4	20	23	18	11	21
17	6	3	20	5	7	2	9	19	12	10	17	15	11	8	21	3	14	1	23	4	18	20	22	6	24	16	13
9	9.999999999999	19	17	23	20	2	17	16	7	6	22	1	10	12	13	21	14	18	24	15	3	4	8	5	19	11	9
2	3	7	7	14	6	13	11	17	15	18	8	16	23	22	2	19	5	9	20	24	7	3	1	12	4	10	21
18	2.000000000001	1	18	5	24	15	20	2	18	23	22	21	8	11	19	17	4	9	13	3	12	7	16	6	10	1	14
9	3.999999999999	14	11	8	12	14	5	16	2	15	11	7	13	6	10	20	24	19	3	17	23	9	4	1	22	18	21
8	15.999999999999	12	14	2	16	5	21	14	7	18	10	12	22	24	19	17	1	9	6	8	11	13	20	3	23	15	4
5	22.9999999999989	22	14	24	3	5	21	1	15	20	23	14	8	2	7	13	17	9	4	11	6	22	16	10	12	18	19
15	21.999999999999	17	16	9	19	8	3	22	4	20	5	2	11	24	1	7	16	12	10	23	6	18	14	21	15	17	13
2	14.000000000001	8	21	23	15	1	5	10	24	3	4	9	8	16	7	2	14	6	19	21	11	12	17	20	13	22	18
14	16.9999999999989	15	1	22	4	23	16	10	12	17	21	6	20	8	18	11	24	2	5	19	15	7	14	13	3	9	1
7	13.0000000000011	11	15	9	8	1	13	12	15	21	2	11	19	4	5	18	22	14	7	17	6	3	16	20	24	10	23
21	19.0000000000011	6	9	22	24	15	20	19	12	16	6	5	18	21	9	11	10	1	14	7	8	3	4	17	2	23	13
2	3.999999999999	1	16	12	14	17	9	22	2	24	4	19	6	20	18	7	5	13	8	23	21	15	11	3	16	10	1
12	18	3	23	22	9	23	11	1	5	15	12	24	2	19	21	3	16	7	4	14	13	20	17	6	18	10	8
23	13.0000000000011	11	15	21	17	12	5	13	10	9	14	7	20	2	24	22	18	19	23	4	15	11	16	6	8	1	3
21	4.99999999999893	2	24	16	22	8	15	4	5	21	2	23	18	6	1	19	20	14	24	17	11	7	3	9	12	13	10
4	1.00000000000107	9	14	19	16	7	13	6	23	21	12	5	3	22	8	10	4	1	14	2	9	24	15	17	18	11	20
10	10.9999999999989	23	18	15	21	19	10	3	14	6	2	9	24	4	17	22	20	8	1	16	13	7	12	11	23	18	5
13	22.9999999999989	7	9	16	2	4	5	1	7	23	9	18	8	12	13	6	22	15	11	14	10	21	17	24	19	20	3
1	7.00000000000107	8	7	19	22	18	15	21	3	7	17	8	12	14	6	1	13	5	23	9	4	16	2	11	20	24	10
23	2.000000000001	24	23	17	16	18	1	23	3	4	7	12	22	2	14	13	21	9	19	5	20	24	15	10	6	11	8
13	8.000000000001	16	6	1	19	5	15	24	14	17	11	18	9	7	10	20	12	2	16	23	6	4	8	13	22	21	3
18	16.9999999999989	4	9	22	10	3	17	4	24	19	8	18	9	13	16	11	12	2	6	14	5	20	23	15	21	7	1
21	13.0000000000011	20	9	21	11	22	17	15	8	23	14	13	6	10	24	2	16	4	12	5	1	9	18	7	3	20	19
13	15	13	15	11	16	19	10	2	1	24	7	21	9	15	8	20	18	17	3	12	13	22	14	4	23	5	6
15	22.9999999999989	14	13	14	21	7	23	20	11	17	4	8	1	3	19	10	16	18	24	5	22	15	13	9	6	12	2
11	15.999999999999	21	23	15	11	1	13	2	8	20	22	3	9	14	24	5	4	19	16	18	6	7	23	21	12	17	10
19	6	6	8	14	13	24	9	20	3	16	18	1	10	19	23	5	21	11	22	4	2	6	8	7	17	12	15
12	21	18	17	16	21	7	9	3	17	1	14	10	8	2	22	24	5	6	4	13	19	15	18	11	20	12	23
18	2.000000000001	15	17	4	19	10	20	14	17	23	12	2	8	7	22	15	11	16	21	9	3	5	18	24	1	6	13
18	24	10	18	10	15	13	7	12	11	8	17	22	5	21	16	4	19	18	9	20	24	1	14	2	6	23	3
23	12	19	24	22	5	3	2	17	14	1	15	11	8	6	21	7	16	4	9	10	12	20	18	13	19	24	23
21	15.999999999999	22	16	15	23	21	14	10	8	6	12	24	16	3	11	7	18	2	1	5	9	22	4	13	20	19	17
14	16.9999999999989	17	8	15	16	4	17	1	7	18	5	8	2	20	6	12	23	9	19	11	13	24	3	21	14	10	22
16	7.00000000000107	5	6	11	23	5	1	17	19	10	12	20	16	6	3	22	8	7	18	2	21	15	13	4	24	14	9
1	22.9999999999989	12	23	14	3	10	22	11	18	16	7	8	9	5	19	15	2	12	23	1	24	21	6	4	20	13	17
19	2.000000000001	4	19	16	5	7	14	6	10	12	24	19	17	9	4	15	13	2	18	3	21	11	20	23	8	22	1
3	21	13	14	6	14	11	15	5	10	13	12	24	2	21	16	17	18	22	23	4	3	20	19	7	8	1	9
21	22.9999999999989	24	3	7	12	20	3	21	13	11	22	9	14	18	24	4	15	16	5	17	8	23	19	2	6	1	10
2	14.000000000001	3	9	22	17	10	11	14	6	3	2	24	16	12	4	5	15	8	18	9	7	1	21	20	23	13	19
6	15.999999999999	11	17	23	16	3	15	18	4	1	7	19	22	12	24	9	20	14	6	8	21	17	10	2	13	11	5
19	7.00000000000107	19	2	16	11	22	15	3	12	6	1	23	20	9	21	18	24	2	13	7	14	5	8	4	17	10	19
7	24	17	8	12	16	21	6	13	4	5	19	9	14	11	2	23	17	22	15	18	3	8	10	24	7	20	1
24	3.999999999999	10	7	4	18	14	23	13	2	21	9	5	19	11	3	7	1	24	16	6	20	17	8	22	10	15	12
3	21	15	12	12	1	16	15	7	4	14	6	22	18	9	21	23	8	2	17	20	11	10	3	19	5	13	24
12	16.9999999999989	23	23	8	15	13	12	14	21	5	9	2	11	7	3	17	1	24	22	18	6	4	20	19	16	10	23
16	1.00000000000107	9	10	9	2	21	6	15	17	7	10	12	5	22	23	19	16	24	4	8	13	3	20	14	1	18	11
8	21.999999999999	14	7	13	19	3	4	9	11	24	17	14	5	15	21	12	10	2	20	23	1	8	22	7	18	6	16
15	6	22	24	14	13	15	24	5	12	8	4	2	18	20	16	1	23	21	6	3	10	17	19	7	22	9	11
2	15	12	15	19	18	11	7	22	24	1	21	10	3	20	5	23	12	16	13	2	6	8	14	4	15	9	17
11	21.999999999999	2	8	20	10	9	3	22	18	11	7	15	24	16	13	21	12	5	4	19	2	6	1	8	14	23	17
23	19.0000000000011	5	4	20	6	3	4	17	24	11	19	10	23	22	15	18	9	12	8	2	1	7	16	5	21	14	13
20	24	20	2	20	21	11	1	3	17	23	6	4	13	2	14	15	10	22	19	24	18	9	5	8	7	16	12
16	20.000000000001	8	4	1	12	4	3	19	7	15	24	9	23	18	21	16	8	20	2	17	13	6	22	14	11	10	5
1	12	1	19	14	2	15	5	21	1	3	19	10	12	16	7	24	9	8	18	20	23	13	22	11	6	4	17
9	13.0000000000011	16	13	14	3	2	13	20	7	24	22	10	17	19	6	5	21	4	12	11	16	18	23	9	8	1	15
22	21.999999999999	18	12	2	10	19	1	14	20	12	13	24	5	6	9	11	7	15	16	21	18	4	3	23	17	22	8
16	16.9999999999989	21	16	15	16	8	7	5	6	19	20	24	11	22	4	23	2	18	17	14	1	10	13	12	9	21	3
17	14.000000000001	7	8	4	6	19	23	1	18	7	21	10	2	14	17	15	12	20	9	3	24	16	13	11	22	5	8
5	18	6	5	14	7	16	19	3	23	8	13	4	11	5	21	20	9	2	1	6	10	17	12	24	15	22	18
13	12	1	2	5	12	20	7	4	13	17	10	6	18	16	22	24	21	1	19	8	23	2	15	9	3	14	11
5	13.0000000000011	12	15	11	14	23	12	18	6	19	10	15	1	13	20	2	21	17	24	5	4	3	16	8	22	9	7
2	18	13	24	9	19	21	1	11	4	15	6	16	17	24	14	23	22	20	7	5	2	8	12	13	10	3	18
19	24	14	7	4	8	15	16	5	12	3	20	21	1	9	23	13	11	10	14	2	17	19	7	24	6	22	18
4	15.999999999999	24	4	15	3	7	14	4	19	1	18	13	23	17	8	22	11	21	6	20	5	16	9	24	10	12	2
7	18	9	1	19	3	22	6	24	11	23	21	2	8	10	14	1	7	13	9	12	5	15	4	17	16	20	18
24	15.999999999999	7	2	4	10	16	15	22	5	13	18	21	8	23	24	7	20	9	14	6	2	12	11	3	17	1	19
7	13.0000000000011	11	12	8	11	12	22	5	6	4	1	19	10	13	9	21	14	18	7	16	2	3	24	15	20	23	17
19	15.999999999999	5	23	1	6	12	13	20	10	7	2	14	19	15	17	4	21	11	24	16	23	5	3	8	9	18	22
1	13.0000000000011	8	9	7	19	2	12	5	21	13	23	22	20	14	18	1	16	24	17	9	8	6	15	11	10	4	3
12	22.9999999999989	15	14	6	19	23	11	5	15	9	13	3	14	7	2	1	17	16	4	10	21	22	12	18	20	24	8
5	8.000000000001	22	8	9	8	5	23	16	13	21	11	17	3	1	14	7	24	18	6	22	4	12	19	20	15	2	10
7	22.9999999999989	4	2	5	13	2	1	4	24	22	8	7	21	12	16	19	18	14	9	20	17	11	3	6	10	23	15
11	2.000000000001	18	23	18	22	20	1	8	17	6	19	10	12	15	21	9	13	16	5	7	24	4	14	23	2	11	3
3	16.9999999999989	10	12	13	8	22	6	16	10	17	14	21	20	18	2	24	19	3	23	12	11	5	9	7	1	15	4
15	15	20	22	15	17	14	24	22	1	11	13	2	12	4	8	23	5	3	16	6	7	19	18	9	21	20	10
5	12	17	22	19	9	17	11	22	14	23	1	18	24	7	10	4	15	8	6	12	20	3	16	21	5	2	13
11	14.000000000001	2	4	24	10	20	5	13	16	11	2	15	12	22	21	14	8	7	18	6	19	23	1	17	3	4	9
11	2.000000000001	16	11	18	6	12	22	15	19	20	9	13	4	21	10	3	14	8	1	16	23	17	7	11	24	2	5
24	13.0000000000011	6	8	12	5	11	7	14	9	22	3	19	13	24	15	16	17	1	20	10	21	18	2	8	6	23	4
8	3.999999999999	19	3	19	9	13	23	18	2	16	3	20	6	10	1	7	17	12	24	14	11	21	22	5	4	15	8
4	18	21	1	2	4	24	5	20	11	9	8	16	6	18	23	14	1	22	12	15	21	17	7	13	10	19	3
20	1.00000000000107	23	4	19	8	7	20	23	10	18	12	24	11	5	9	2	22	4	3	17	14	16	15	13	21	1	6
16	12	3	2	15	1	5	11	21	3	17	16	8	22	19	7	4	14	9	2	6	18	23	12	24	20	10	13
16	12	1	14	20	21	14	5	2	16	8	19	18	9	15	23	12	13	4	1	11	10	17	6	22	3	24	7
9	18	6	10	18	5	14	23	4	6	19	16	22	8	9	3	13	17	11	7	15	1	20	21	12	24	2	10
22	1.00000000000107	8	5	18	7	17	2	13	10	3	14	16	24	1	9	22	21	5	20	8	4	11	23	6	19	15	12
10	22.9999999999989	12	4	1	5	18	15	20	6	19	2	22	4	14	13	11	16	12	21	10	7	3	23	24	8	17	9
4	21	19	21	13	20	5	12	2	15	7	10	1	22	9	23	19	16	14	3	6	11	17	8	18	21	24	4
6	3.999999999999	23	22	10	19	3	6	16	12	17	14	1	24	13	8	21	9	22	5	4	23	2	15	11	20	7	18
24	15.999999999999	21	24	8	24	18	3	13	6	20	12	7	16	11	10	19	23	4	9	21	2	1	5	14	15	22	17
14	15.999999999999	4	2	7	12	15	21	11	10	13	5	14	23	20	4	17	1	24	2	6	19	16	22	9	3	18	8
11	15.999999999999	14	7	24	2	3	4	21	17	10	16	18	23	9	13	7	14	22	20	1	12	11	6	8	5	15	19
3	13.0000000000011	9	19	8	24	20	13	7	12	15	17	2	19	4	9	14	3	10	21	22	6	23	11	1	18	5	16
3	6	20	21	3	5	16	18	23	8	4	9	12	14	22	7	19	20	11	13	17	10	1	15	21	6	2	24
3	4.99999999999893	15	17	9	24	8	11	13	6	21	12	22	20	14	15	19	7	23	16	18	17	5	3	2	4	10	1
23	21.999999999999	10	16	14	8	19	18	2	4	3	13	5	9	24	17	12	15	23	11	20	1	10	7	21	22	16	6
19	12	17	14	20	14	8	3	10	15	11	16	24	7	22	4	21	2	13	12	9	1	17	23	6	19	18	5
8	12	2	13	15	14	10	11	12	7	8	5	4	19	1	3	20	23	9	22	21	17	16	13	6	18	24	2
20	22.9999999999989	13	18	16	14	3	6	24	8	15	4	1	17	18	23	19	13	2	10	21	20	11	9	7	12	22	5
1	21.999999999999	7	11	13	17	23	16	19	6	14	7	5	4	22	1	24	12	11	21	15	9	20	3	2	10	8	18
10	7.00000000000107	24	7	20	13	17	11	10	4	7	8	24	15	3	6	2	14	1	22	19	23	9	18	5	12	21	16
17	24	18	7	21	8	24	15	10	9	11	2	22	18	14	23	3	12	16	13	4	6	20	5	19	1	17	7
5	4.99999999999893	3	2	18	11	7	3	8	22	4	5	16	21	19	14	23	12	6	13	10	1	9	20	15	2	17	24
20	1.00000000000107	16	3	8	11	12	9	17	21	5	24	15	19	18	14	4	16	23	2	10	7	6	3	20	1	13	22
15	12	5	22	12	14	17	11	1	3	9	18	19	15	2	5	24	22	8	6	16	21	4	13	20	7	10	23
24	18	22	1	3	9	24	12	6	11	4	17	8	1	19	13	2	5	20	16	21	23	10	22	15	18	14	7
6	22.9999999999989	11	9	8	13	1	19	5	14	21	15	16	18	23	3	17	22	12	6	10	2	4	7	20	24	9	11
16	3.999999999999	17	8	8	18	9	20	22	17	12	7	24	11	4	15	3	6	23	19	14	1	13	21	2	16	5	10
9	10.9999999999989	3	18	1	4	16	21	17	22	2	9	13	10	19	8	24	11	12	20	7	23	3	5	6	15	18	14
7	24	7	5	8	11	9	17	10	12	18	2	1	23	14	7	20	21	3	5	15	13	22	6	16	19	24	4
24	10.9999999999989	10	4	2	9	7	23	11	16	4	10	18	13	14	8	6	19	24	22	5	1	12	21	3	17	15	20
12	15.999999999999	18	11	19	17	1	4	7	23	20	11	21	5	16	10	18	3	24	13	9	2	15	22	14	8	12	6
15	22.9999999999989	22	12	16	2	15	23	9	12	13	7	10	18	3	6	24	4	1	11	22	19	14	20	5	17	21	8
15	16.9999999999989	13	23	6	2	19	12	9	7	4	18	5	16	20	22	3	23	24	21	10	15	17	14	1	11	13	8
12	24	24	6	21	5	14	19	12	16	9	22	8	11	23	17	13	2	6	18	24	1	20	7	15	3	4	10
13	7.00000000000107	16	4	8	22	12	20	7	5	15	1	6	18	2	21	23	11	16	19	17	24	9	10	13	3	4	14
1	10.9999999999989	8	21	24	18	4	5	7	17	10	13	14	12	9	11	1	19	21	6	15	8	22	23	16	2	20	3
3	19.0000000000011	2	9	19	23	9	7	8	11	3	18	20	21	24	5	12	10	16	4	6	2	22	15	13	1	14	17
11	13.0000000000011	14	17	13	7	3	12	19	1	9	8	20	5	4	17	10	22	14	21	6	18	11	24	2	16	15	23
1	18	11	3	17	2	10	18	15	4	16	11	24	22	8	12	5	6	9	1	21	23	19	14	20	3	7	13
23	13.0000000000011	6	5	19	17	14	24	22	6	9	1	18	16	23	13	11	5	4	10	21	20	12	15	7	3	8	2
1	14.000000000001	9	8	5	12	14	2	10	20	19	13	16	21	11	3	15	1	17	4	23	7	6	24	22	18	8	9
12	3.999999999999	4	1	5	14	18	7	22	3	20	13	12	9	4	6	21	23	19	24	16	11	1	8	17	15	2	10
22	20.000000000001	23	11	5	4	8	22	19	10	11	6	13	17	14	15	3	7	1	9	23	24	21	20	16	18	12	2
4	24	21	11	3	4	21	5	8	12	18	15	20	10	13	24	1	7	9	23	16	6	17	14	19	2	11	22
17	15.999999999999	12	16	6	4	18	2	16	9	7	1	21	10	12	3	20	5	19	23	17	11	22	14	13	24	8	15
2	24	5	19	7	11	16	10	12	24	5	9	6	2	15	3	13	1	22	18	21	19	17	20	8	14	4	23
11	7.00000000000107	19	3	20	7	13	5	9	12	24	6	14	19	22	2	10	17	3	23	21	1	15	18	4	16	8	11
8	2.000000000001	1	20	1	14	23	2	22	8	4	21	12	16	9	24	7	18	3	5	13	6	20	19	10	11	17	15
7	21.999999999999	15	14	2	9	23	8	19	15	10	18	3	16	20	11	5	22	12	14	17	24	21	7	13	4	6	1
10	12	20	22	10	5	17	1	9	6	18	16	22	13	2	3	7	12	8	20	11	14	23	4	15	21	24	19
13	20.000000000001	6	9	15	22	8	7	4	23	10	1	14	5	13	11	16	9	17	20	2	18	24	6	21	12	19	3
3	22.9999999999989	22	24	17	24	3	4	22	1	5	21	15	18	6	14	8	11	13	9	10	19	2	20	7	12	23	16
12	24	10	9	20	22	17	14	19	1	3	9	2	6	21	8	7	23	12	15	24	18	5	11	10	13	16	4
15	16.9999999999989	23	2	11	9	7	15	14	19	12	3	16	6	22	23	1	17	13	10	4	24	18	8	2	20	21	5
9	14.000000000001	9	6	21	13	17	11	16	12	14	20	3	6	15	4	2	9	24	10	8	1	18	7	22	5	23	19
19	13.0000000000011	11	13	6	21	2	14	8	17	12	11	22	1	15	5	9	3	23	19	24	16	7	20	10	18	4	13
7	12	15	6	6	24	4	12	13	23	10	5	2	9	17	15	14	21	22	1	8	3	18	7	19	16	20	11
7	20.000000000001	8	21	2	9	13	11	10	23	5	18	22	19	16	12	7	8	20	24	17	4	15	1	6	3	14	21
15	13.0000000000011	12	14	7	24	18	3	13	17	2	20	1	14	9	22	11	8	21	4	15	19	16	6	12	23	10	5
21	12	5	8	5	6	9	8	1	16	23	4	10	21	22	14	17	20	15	7	18	3	13	11	24	12	2	19
22	1.00000000000107	19	11	17	19	2	7	9	4	3	6	10	1	8	13	15	20	16	24	12	11	5	21	23	18	14	22
10	21	2	14	3	11	8	13	14	23	10	21	19	5	12	1	24	4	18	7	17	2	20	15	9	22	6	16
